Label,SrcIP,SrcPort,DstIP,DstPort,Protocol,Length,Duration
malware,10729101,63831,107251,53,17,78,0.0
malware,107251,53,10729101,63831,17,152,0.328768
malware,10729101,49160,1192878131,80,6,66,0.0
malware,1192878131,80,10729101,49160,6,60,0.298538
malware,10729101,49160,1192878131,80,6,60,0.000268
malware,10729101,49160,1192878131,80,6,351,0.000328
malware,1192878131,80,10729101,49160,6,60,9.9e-05
malware,1192878131,80,10729101,49160,6,1514,2.048775
malware,1192878131,80,10729101,49160,6,1050,1.3e-05
malware,1192878131,80,10729101,49160,6,1514,1e-06
malware,1192878131,80,10729101,49160,6,1514,3e-06
malware,1192878131,80,10729101,49160,6,1514,1e-06
malware,1192878131,80,10729101,49160,6,586,2e-06
malware,1192878131,80,10729101,49160,6,1514,2e-06
malware,10729101,49160,1192878131,80,6,60,0.000247
malware,10729101,49160,1192878131,80,6,60,0.012066
malware,1192878131,80,10729101,49160,6,1514,0.223812
malware,1192878131,80,10729101,49160,6,1050,4.4e-05
malware,1192878131,80,10729101,49160,6,1514,3e-06
malware,1192878131,80,10729101,49160,6,1514,3e-06
malware,1192878131,80,10729101,49160,6,1514,3e-06
malware,1192878131,80,10729101,49160,6,586,2.4e-05
malware,10729101,49160,1192878131,80,6,60,0.000324
malware,1192878131,80,10729101,49160,6,1514,5e-06
malware,10729101,49160,1192878131,80,6,60,0.000276
malware,10729101,49160,1192878131,80,6,60,7e-06
malware,1192878131,80,10729101,49160,6,1514,0.099813
malware,1192878131,80,10729101,49160,6,1050,1.9e-05
malware,10729101,49160,1192878131,80,6,60,0.000258
malware,1192878131,80,10729101,49160,6,1514,0.134704
malware,1192878131,80,10729101,49160,6,1050,2.3e-05
malware,1192878131,80,10729101,49160,6,1514,0.000314
malware,1192878131,80,10729101,49160,6,1514,9e-06
malware,1192878131,80,10729101,49160,6,1514,3e-06
malware,10729101,49160,1192878131,80,6,60,3e-06
malware,1192878131,80,10729101,49160,6,1514,2e-06
malware,1192878131,80,10729101,49160,6,1514,2e-06
malware,1192878131,80,10729101,49160,6,1514,2e-06
malware,10729101,49160,1192878131,80,6,60,0.000186
malware,10729101,49160,1192878131,80,6,60,6e-06
malware,1192878131,80,10729101,49160,6,1514,0.001072
malware,1192878131,80,10729101,49160,6,1050,1.9e-05
malware,1192878131,80,10729101,49160,6,1514,0.000372
malware,1192878131,80,10729101,49160,6,1514,1.4e-05
malware,1192878131,80,10729101,49160,6,1514,4e-06
malware,1192878131,80,10729101,49160,6,1514,3e-06
malware,1192878131,80,10729101,49160,6,1514,3e-06
malware,1192878131,80,10729101,49160,6,1514,3e-06
malware,1192878131,80,10729101,49160,6,1514,2e-06
malware,10729101,49160,1192878131,80,6,60,0.000432
malware,10729101,49160,1192878131,80,6,60,0.000114
malware,1192878131,80,10729101,49160,6,1514,0.097248
malware,1192878131,80,10729101,49160,6,1514,4.4e-05
malware,1192878131,80,10729101,49160,6,1514,2e-06
malware,1192878131,80,10729101,49160,6,586,3e-06
malware,10729101,49160,1192878131,80,6,60,0.000263
malware,1192878131,80,10729101,49160,6,1514,0.134724
